Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,module_id,module_size
KEGG_2021_Human,mTOR signaling pathway,7/154,3.150618964787629e-09,3.875261326688784e-07,0,0,39.32936507936508,769.8985504438347,STK11;CAB39;CAB39L;STRADA;STRADB;PTEN;AKT1,2,31
KEGG_2021_Human,AMPK signaling pathway,6/120,2.678697023897213e-08,1.6473986696967856e-06,0,0,41.8,728.7976405657394,STK11;CAB39;CAB39L;STRADA;STRADB;AKT1,2,31
KEGG_2021_Human,Apoptosis,6/142,7.327507399408607e-08,3.004278033757529e-06,0,0,34.99941176470588,575.0069227744575,CASP8;CASP10;CASP6;TNFSF10;AKT1;TNFRSF10B,2,31
KEGG_2021_Human,Lipid and atherosclerosis,6/215,8.46588470905413e-07,2.603259548034145e-05,0,0,22.69090909090909,317.26545102868533,PYCARD;CASP8;CASP6;TNFSF10;AKT1;TNFRSF10B,2,31
KEGG_2021_Human,Salmonella infection,6/249,1.988559648873585e-06,4.8918567362290194e-05,0,0,19.482469135802468,255.7678025908271,PYCARD;CASP8;TNFSF10;AKT1;TNFRSF10B;PIK3C3,2,31
KEGG_2021_Human,Influenza A,5/172,6.291009452902966e-06,0.0001289656937845108,0,0,22.80285582680792,273.09587202956965,PYCARD;CASP8;TNFSF10;AKT1;TNFRSF10B,2,31
KEGG_2021_Human,FoxO signaling pathway,4/131,4.822082220432456e-05,0.0008473087330188459,0,0,23.14610673665792,230.0658115868224,STK11;PTEN;TNFSF10;AKT1,2,31
KEGG_2021_Human,Autophagy,4/137,5.742544164081166e-05,0.0008829161652274794,0,0,22.09523809523809,215.76051081268417,STK11;PTEN;AKT1;PIK3C3,2,31
KEGG_2021_Human,Necroptosis,4/159,0.00010236873075408605,0.0013990393203058,0,0,18.93811230585424,173.98309799079155,PYCARD;CASP8;TNFSF10;TNFRSF10B,2,31
KEGG_2021_Human,Tuberculosis,4/180,0.00016510494393906486,0.0020307908104504,0,0,16.660774410774412,145.09750579970583,CASP8;CASP10;AKT1;PIK3C3,2,31
KEGG_2021_Human,p53 signaling pathway,3/73,0.00019484739525025687,0.0021787481468892,0,0,30.45765306122449,260.20868143092946,CASP8;PTEN;TNFRSF10B,2,31
KEGG_2021_Human,Pathogenic Escherichia coli infection,4/197,0.00023325384750400225,0.002390851936916,0,0,15.180195739781231,126.95779437465752,PYCARD;CASP8;TNFSF10;TNFRSF10B,2,31
KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,3/100,0.0004924436798304106,0.0046592748168569,0,0,21.949926362297496,167.17350275311443,TNFSF10;TNFRSF10B;TNFRSF10D,2,31
KEGG_2021_Human,C-type lectin receptor signaling pathway,3/104,0.0005522640398650075,0.0048520340645282,0,0,21.07637906647808,158.1041265197237,PYCARD;CASP8;AKT1,2,31
KEGG_2021_Human,TNF signaling pathway,3/112,0.0006854437893185516,0.0056206390724121,0,0,19.521625163827,142.2237081276475,CASP8;CASP10;AKT1,2,31
KEGG_2021_Human,Hepatitis B,3/162,0.0019851043893972,0.0150585263476343,0,0,13.349056603773583,83.0589485340456,CASP8;CASP10;AKT1,2,31
