Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,module,n_genes_in_module
KEGG_2021_Human,Homologous recombination,17/41,9.782999578209526e-31,1.9565999156419048e-29,0,0,210.3009950248756,14531.691868730812,BARD1;TOP3B;ABRAXAS1;XRCC2;XRCC3;BRCA2;PALB2;RAD54B;RAD51B;BRIP1;RAD51D;RAD51;RAD51C;EME1;UIMC1;RAD54L;NBN,1,84
KEGG_2021_Human,Fanconi anemia pathway,18/54,2.0217760279381123e-30,2.0217760279381127e-29,0,0,150.6060606060606,10297.474997619409,TOP3B;FANCM;FANCL;FANCA;FANCC;FANCB;BRCA2;FANCE;PALB2;FANCG;FANCF;BRIP1;RAD51C;SLX4;RAD51;EME1;FANCD2;PMS2,1,84
KEGG_2021_Human,Mismatch repair,3/23,0.00011911360933626354,0.0007940907289084236,0,0,36.84444444444444,332.9055025674288,MSH6;MSH2;PMS2,1,84
KEGG_2021_Human,Cellular senescence,4/156,0.0042370648386837,0.0211853241934187,0,0,6.501315789473685,35.522438600867865,CHEK2;RAD1;NBN;RAD9A,1,84
Reactome_2022,DNA Repair R-HSA-73894,31/310,7.864298896521442e-35,7.707012918591013e-33,0,0,41.16771488469602,3232.824278204375,ABRAXAS1;BRCA2;BRIP1;SLX4;EME1;CHEK2;UIMC1;PMS2;MUTYH;GEN1;BARD1;FANCM;FANCL;XRCC2;XRCC3;FANCA;FANCC;FANCB;FANCE;SPIDR;PALB2;FANCG;FANCF;MSH6;RAD51B;RAD51D;RAD51C;RAD51;MSH2;FANCD2;RAD9A,1,84
Reactome_2022,Resolution Of D-loop Structures Thru Holliday Junction Intermediates R-HSA-5693568,14/33,1.3032011302172555e-25,6.385685538064552e-24,0,0,209.44210526315788,12000.991513754616,BARD1;GEN1;XRCC2;XRCC3;BRCA2;PALB2;SPIDR;RAD51B;BRIP1;RAD51D;SLX4;RAD51;RAD51C;EME1,1,84
Reactome_2022,Resolution Of D-Loop Structures R-HSA-5693537,14/34,2.208258527475953e-25,7.213644523088113e-24,0,0,198.96,11295.441303273012,BARD1;GEN1;XRCC2;XRCC3;BRCA2;PALB2;SPIDR;RAD51B;BRIP1;RAD51D;SLX4;RAD51;RAD51C;EME1,1,84
Reactome_2022,HDR Thru Homologous Recombination (HRR) R-HSA-5685942,15/67,1.7334325136462314e-22,3.80301133169585e-21,0,0,83.04347826086956,4161.040339919349,GEN1;BARD1;XRCC2;XRCC3;BRCA2;SPIDR;PALB2;RAD51B;RAD51D;BRIP1;RAD51C;SLX4;RAD51;EME1;RAD9A,1,84
Reactome_2022,Diseases Of DNA Repair R-HSA-9675135,14/51,1.940311903926454e-22,3.80301133169585e-21,0,0,107.45405405405404,5372.060483185773,BARD1;XRCC2;BRCA2;PALB2;MSH6;RAD51B;RAD51D;BRIP1;RAD51C;RAD51;MSH2;PMS2;MUTYH;RAD9A,1,84
Reactome_2022,HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567,17/114,3.8085051990560083e-22,6.22055849179148e-21,0,0,51.84228342821972,2556.8425102396227,GEN1;BARD1;ABRAXAS1;XRCC2;XRCC3;BRCA2;SPIDR;PALB2;RAD51B;RAD51D;BRIP1;RAD51C;SLX4;RAD51;EME1;UIMC1;RAD9A,1,84
